gene	accession	hmmsource
Ribosomal_S20p	PF01649.13	unknown
Ribosomal_S3_C	PF00189.15	unknown
Ribosomal_S4	PF00163.14	unknown
Ribosomal_S5	PF00333.15	unknown
Ribosomal_S5_C	PF03719.10	unknown
Ribosomal_S6	PF01250.12	unknown
Ribosomal_S7	PF00177.16	unknown
Ribosomal_S8	PF00410.14	unknown
Ribosomal_S9	PF00380.14	unknown
RimM	PF01782.13	unknown
RNA_pol_A_bac	PF01000.21	unknown
RNA_pol_A_CTD	PF03118.10	unknown
RNA_pol_L	PF01193.19	unknown
RNA_pol_Rpb1_1	PF04997.7	unknown
RNA_pol_Rpb1_2	PF00623.15	unknown
RNA_pol_Rpb1_3	PF04983.13	unknown
RNA_pol_Rpb1_4	PF05000.12	unknown
RNA_pol_Rpb1_5	PF04998.12	unknown
RNA_pol_Rpb2_1	PF04563.10	unknown
RNA_pol_Rpb2_2	PF04561.9	unknown
RNA_pol_Rpb2_3	PF04565.11	unknown
RNA_pol_Rpb2_45	PF10385.4	unknown
RNA_pol_Rpb2_6	PF00562.23	unknown
RNA_pol_Rpb2_7	PF04560.15	unknown
RRF	PF01765.14	unknown
RuvA_C	PF07499.8	unknown
RuvA_N	PF01330.16	unknown
RuvB_C	PF05491.8	unknown
S-AdoMet_synt_C	PF02773.11	unknown
S-AdoMet_synt_M	PF02772.11	unknown
SecE	PF00584.15	unknown
SecG	PF03840.9	unknown
SecY	PF00344.15	unknown
Seryl_tRNA_N	PF02403.17	unknown
SmpB	PF01668.13	unknown
SRP_SPB	PF02978.14	unknown
THF_DHG_CYH	PF00763.18	unknown
THF_DHG_CYH_C	PF02882.14	unknown
TIM	PF00121.13	unknown
Toprim_N	PF08275.6	unknown
TRCF	PF03461.10	unknown
Trigger_C	PF05698.9	unknown
Trigger_N	PF05697.8	unknown
tRNA_m1G_MT	PF01746.16	unknown
tRNA-synt_1d	PF00750.14	unknown
tRNA-synt_2d	PF01409.15	unknown
TruB_N	PF01509.13	unknown
UBA	PF00627.26	unknown
UPF0054	PF02130.12	unknown
UPF0079	PF02367.12	unknown
UPF0081	PF03652.10	unknown
UvrB	PF12344.3	unknown
UvrC_HhH_N	PF08459.6	unknown
Val_tRNA-synt_C	PF10458.4	unknown
YchF-GTPase_C	PF06071.8	unknown
zf-C4_ClpX	PF06689.8	unknown
